0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
13993;;очень;ќ„≈Ќ№;ADV -;;;мы с ними _очень_ мило пили чай;ь;н;е;ч;о;;ADV;ќ„≈Ќ№;ADV -;№
13994;;мило;ћ»Ћќ;ADV -;;;с ними очень _мило_ пили чай ,;о;л;и;м;;;ADV;ћ»Ћќ;ADV -;ќ
13995;;пили;ѕ»“№;V ipf praet pl indic - -;;;ними очень мило _пили_ чай , и;и;л;и;п;;;V;ѕ»“№;V ipf praet pl indic - -;№
13996;;чай;„ј…;S m inan acc sg;;;очень мило пили _чай_ , и €;й;а;ч;;;;S;„ј…;S m inan acc sg;…
13997;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13998;;и;»;CONJ;;;пили чай , _и_ € говорю :;и;;;;;;CONJ;»;CONJ;»
13999;;€;я;SPRO sg 1p - nom;;;"чай , и _€_ говорю : """;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14000;;говорю;√ќ¬ќ–»“№;V ipf praes sg indic - 1p;;;", и € _говорю_ : "" ќй";ю;р;о;в;о;г;V;√ќ¬ќ–»“№;V ipf praes sg indic - 1p;№
14001;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
14002;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
14003;;ќй;ќ…;INTJ;;;"говорю : "" _ќй_ !";й;о;;;;;INTJ;ќ…;INTJ;…
14004;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
14005;;;;;;;;;;;;;;;;;
14006;# sent = 1096;;;;;;;;;;;;;;;;
14007;;”;”;PR;;;! _”_ мен€ тут в;у;;;;;;PR;”;PR;”
14008;;мен€;я;SPRO sg 1p - gen;;;” _мен€_ тут в ¬ ;€;н;е;м;;;SPRO;я;SPRO sg 1p - acc;я
14009;;тут;“”“;ADV -;;;” мен€ _тут_ в ¬  оповещение;т;у;т;;;;ADV;“”“;ADV -;“
14010;;в;¬;PR;;;” мен€ тут _в_ ¬  оповещение ,;в;;;;;;PR;¬;PR;¬
14011;;¬ ;¬ ;S - inan 0=sg loc ;;;мен€ тут в _¬ _ оповещение , что;к;в;;;;;NONLEX;¬ ;NONLEX; 
14012;;оповещение;ќѕќ¬≈ў≈Ќ»≈;S n inan nom sg;;;тут в ¬  _оповещение_ , что у;е;и;н;е;щ;е;S;ќѕќ¬≈ў≈Ќ»≈;S n inan nom sg;≈
14013;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14014;;что;„“ќ;CONJ;;;¬  оповещение , _что_ у вас;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
14015;;у;”;PR;;;оповещение , что _у_ вас сЄдн€;у;;;;;;PR;”;PR;”
14016;;вас;¬џ;SPRO pl 2p - loc;;;, что у _вас_ сЄдн€;с;а;в;;;;SPRO;¬џ;SPRO pl 2p - loc;џ
14017;"<distinct form=""";;;;;;;;;;;;;;;;
14018;<dist>;сЄдн€;;;;;;;;;;;;;;;
14019;""">";;;;;;;;;;;;;;;;
14020;;сегодн€;—≈√ќƒЌя;ADV -;;;сЄдн€ _сегодн€_ меропри€тие ,;€;н;д;о;г;е;ADV;—≈√ќƒЌя;ADV -;я
14021;</distinct>;;;;;;;;;;;;;;;;
14022;;меропри€тие;ћ≈–ќѕ–»я“»≈;S n inan nom sg;;;сегодн€ _меропри€тие_ , - -;е;и;т;€;и;р;S;ћ≈–ќѕ–»я“»≈;S n inan nom sg;≈
14023;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14024;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
14025;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
14026;;говорю;√ќ¬ќ–»“№;V ipf praes sg indic - 1p;;;, - - _говорю_ , - -;ю;р;о;в;о;г;V;√ќ¬ќ–»“№;V ipf praes sg indic - 1p;№
14027;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14028;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
14029;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
14030;;концерт; ќЌ÷≈–“;S m inan nom sg;;;", - - _концерт_  анцлера "" .";т;р;е;ц;н;о;S; ќЌ÷≈–“;S m inan nom sg;“
14031;; анцлера; јЌ÷Ћ≈–;S m anim gen sg;;;"- - концерт _ анцлера_ "" .";а;р;е;л;ц;н;S; јЌ÷Ћ≈–;S m anim acc sg;–
14032;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
14033;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14034;;;;;;;;;;;;;;;;;
14035;# sent = 1097;;;;;;;;;;;;;;;;
14036;# speaker =  от;;;;;;;;;;;;;;;;
14037;# sent = 1098;;;;;;;;;;;;;;;;
14038;;ќна;ќЌј;SPRO sg 3p f nom;;;_ќна_ собиралась сходить со;а;н;о;;;;SPRO;ќЌј;SPRO sg 3p f nom;ј
14039;;собиралась;—ќЅ»–ј“№—я;V ipf praet sg indic f -;;;ќна _собиралась_ сходить со мной;ь;с;а;л;а;р;V;—ќЅ»–ј“№—я;V ipf praet sg indic f -;я
14040;;сходить;—’ќƒ»“№;V ipf - - inf - -;;;ќна собиралась _сходить_ со мной .;ь;т;и;д;о;х;V;—’ќƒ»“№;V ipf - - inf - -;№
14041;;со;—ќ;PR;;;ќна собиралась сходить _со_ мной .;о;с;;;;;PR;—ќ;PR;ќ
14042;;мной;я;SPRO sg 1p - ins;;;собиралась сходить со _мной_ .;й;о;н;м;;;SPRO;я;SPRO sg 1p - ins;я
14043;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14044;;;;;;;;;;;;;;;;;
14045;# sent = 1099;;;;;;;;;;;;;;;;
14046;;я;я;SPRO sg 1p - nom;;;. _я_ спрашу;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14047;"<distinct form=""";;;;;;;;;;;;;;;;
14048;<dist>;спрашу;;;;;;;;;;;;;;;
14049;""">";;;;;;;;;;;;;;;;
14050;;спрашиваю;—ѕ–јЎ»¬ј“№;V ipf praes sg indic - 1p;;;спрашу _спрашиваю_ , типа;ю;а;в;и;ш;а;V;—ѕ–јЎ»¬ј“№;V ipf praes sg indic - 1p;№
14051;</distinct>;;;;;;;;;;;;;;;;
14052;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14053;;типа;“»ѕј;PART;;;"спрашиваю , _типа_ : "" “ы";а;п;и;т;;;PART;“»ѕј;PART;ј
14054;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
14055;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
14056;;“ы;“џ;SPRO sg 2p - nom;;;"типа : "" _“ы_ пойдЄшь ? """;ы;т;;;;;SPRO;“џ;SPRO sg 2p - nom;џ
14057;;пойдЄшь;ѕќ…“»;V pf fut sg indic - 2p;;;": "" “ы _пойдЄшь_ ? """;ь;ш;Є;д;й;о;V;ѕќ…“»;V pf fut sg indic - 2p;»
14058;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
14059;;"""";"""";PUNCT;;;;;;;;;;PUNCT;;;
14060;;;;;;;;;;;;;;;;;
14061;# sent = 1100;;;;;;;;;;;;;;;;
14062;;Ц;Ц;PUNCT;;;;;;;;;;PUNCT;;;
14063;;а;ј;CONJ;;;Ц _а_ она тот самый;а;;;;;;CONJ;ј;CONJ;ј
14064;;она;ќЌј;SPRO sg 3p f nom;;;Ц а _она_ тот самый человек;а;н;о;;;;SPRO;ќЌј;SPRO sg 3p f nom;ј
14065;;тот;“ќ“;APRO - nom sg plen m -;;;Ц а она _тот_ самый человек ,;т;о;т;;;;APRO;“ќ“;A - nom sg plen m -;“
14066;;самый;—јћџ…;A - nom sg plen m -;;;а она тот _самый_ человек ,;й;ы;м;а;с;;A;—јћџ…;A - nom sg plen m -;…
14067;;человек;„≈Ћќ¬≈ ;S m anim nom sg;;;она тот самый _человек_ , кторо;к;е;в;о;л;е;S;„≈Ћќ¬≈ ;S m anim nom sg; 
14068;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14069;"<distinct form=""";;;;;;;;;;;;;;;;
14070;<dist>;кторо;;;;;;;;;;;;;;;
14071;""">";;;;;;;;;;;;;;;;
14072;;которому; ќ“ќ–џ…;APRO - dat sg plen m -;;;кторо _которому_ нужно за;у;м;о;р;о;т;APRO; ќ“ќ–џ…;A - dat sg plen m -;…
14073;</distinct>;;;;;;;;;;;;;;;;
14074;;нужно;Ќ”∆Ќќ;PRAEDIC;;;которому _нужно_ за мес€ц морально;о;н;ж;у;н;;PRAEDIC;Ќ”∆Ќќ;ADV -;ќ
14075;;за;«ј;PR;;;которому нужно _за_ мес€ц морально готовитьс€;а;з;;;;;PR;«ј;PR;ј
14076;;мес€ц;ћ≈—я÷;S m inan acc sg;;;нужно за _мес€ц_ морально готовитьс€ ,;ц;€;с;е;м;;S;ћ≈—я÷;S m inan acc sg;÷
14077;;морально;ћќ–јЋ№Ќќ;ADV -;;;нужно за мес€ц _морально_ готовитьс€ , чтоб;о;н;ь;л;а;р;ADV;ћќ–јЋ№Ќќ;ADV -;ќ
14078;;готовитьс€;√ќ“ќ¬»“№—я;V ipf - - inf - -;;;за мес€ц морально _готовитьс€_ , чтоб куда-то;€;с;ь;т;и;в;V;√ќ“ќ¬»“№—я;V ipf - - inf - -;я
14079;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14080;;чтоб;„“ќЅ;CONJ;;;морально готовитьс€ , _чтоб_ куда-то пойти .;б;о;т;ч;;;CONJ;„“ќЅ;CONJ;Ѕ
14081;;куда-то; ”ƒј-“ќ;ADV -;;;готовитьс€ , чтоб _куда-то_ пойти .;о;т;-;а;д;у;ADV; ”ƒј-“ќ;ADV -;ќ
14082;;пойти;ѕќ…“»;V pf - - inf - -;;;, чтоб куда-то _пойти_ .;и;т;й;о;п;;V;ѕќ…“»;V pf - - inf - -;»
14083;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14084;;;;;;;;;;;;;;;;;
14085;# sent = 1101;;;;;;;;;;;;;;;;
14086;;ќна;ќЌј;SPRO sg 3p f nom;;;. _ќна_ тка€;а;н;о;;;;SPRO;ќЌј;SPRO sg 3p f nom;ј
14087;"<distinct form=""";;;;;;;;;;;;;;;;
14088;<dist>;тка€;;;;;;;;;;;;;;;
14089;""">";;;;;;;;;;;;;;;;
14090;;така€;“ј ќ…;APRO - nom sg plen f -;;;тка€ _така€_ : Ђ;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14091;</distinct>;;;;;;;;;;;;;;;;
14092;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
14093;;Ђ;Ђ;PUNCT;;;;;;;;;;PUNCT;;;
14094;;“ы;“џ;SPRO sg 2p - nom;;;: Ђ _“ы_ что , сегодн€;ы;т;;;;;SPRO;“џ;SPRO sg 2p - nom;џ
14095;;что;„“ќ;CONJ;;;: Ђ “ы _что_ , сегодн€ ,;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
14096;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14097;;сегодн€;—≈√ќƒЌя;ADV -;;;“ы что , _сегодн€_ , нет !;€;н;д;о;г;е;ADV;—≈√ќƒЌя;ADV -;я
14098;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14099;;нет;Ќ≈“;ADV -;;;, сегодн€ , _нет_ ! как !;т;е;н;;;;ADV;Ќ≈“;ADV -;“
14100;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
14101;;как; ј ;CONJ;;;, нет ! _как_ ! € ж;к;а;к;;;;CONJ; ј ;CONJ; 
14102;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
14103;;€;я;SPRO sg 1p - nom;;;! как ! _€_ ж не накрашена;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14104;;ж;∆;PART;;;как ! € _ж_ не накрашена !;ж;;;;;;PART;∆;PART;∆
14105;;не;Ќ≈;PART;;;! € ж _не_ накрашена ! ї;е;н;;;;;PART;Ќ≈;PART;≈
14106;;накрашена;Ќј –ј—»“№;PARTCP pf praet - sg brev f pass -;;;€ ж не _накрашена_ ! ї ,;а;н;е;ш;а;р;PARTCP;Ќј –ј—»“№;PARTCP pf praet - sg brev f pass -;№
14107;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
14108;;ї;ї;PUNCT;;;;;;;;;;PUNCT;;;
14109;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14110;;всЄ;¬—≈;S n - nom sg;;;! ї , _всЄ_ такое , а;Є;с;в;;;;S;¬—≈;S n - nom sg;≈
14111;;такое;“ј ќ…;APRO - nom sg plen n -;;;ї , всЄ _такое_ , а у;е;о;к;а;т;;APRO;“ј ќ…;A - nom sg plen n -;…
14112;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14113;;а;ј;CONJ;;;всЄ такое , _а_ у нас оставалось;а;;;;;;CONJ;ј;CONJ;ј
14114;;у;”;PR;;;такое , а _у_ нас оставалось;у;;;;;;PR;”;PR;”
14115;;нас;ћџ;SPRO pl 1p - gen;;;, а у _нас_ оставалось де-то;с;а;н;;;;SPRO;ћџ;SPRO pl 1p - loc;џ
14116;;оставалось;ќ—“ј¬ј“№—я;V ipf praet sg indic n -;;;а у нас _оставалось_ де-то;ь;с;о;л;а;в;V;ќ—“ј¬ј“№—я;V ipf praet sg indic n -;я
14117;"<distinct form=""";;;;;;;;;;;;;;;;
14118;<dist>;де-то;;;;;;;;;;;;;;;
14119;""">";;;;;;;;;;;;;;;;
14120;;где-то;√ƒ≈-“ќ;ADV -;;;де-то _где-то_ Е минут;о;т;-;е;д;г;ADV;√ƒ≈-“ќ;ADV -;ќ
14121;</distinct>;;;;;;;;;;;;;;;;
14122;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14123;;минут;ћ»Ќ”“ј;S f inan gen pl;;;где-то Е _минут_ сорок до Е;т;у;н;и;м;;S;ћ»Ќ”“ј;S f inan gen pl;ј
14124;;сорок;—ќ–ќ ;NUM gen - -;;;Е минут _сорок_ до Е ну;к;о;р;о;с;;NUM;—ќ–ќ ;NUM acc - -; 
14125;;до;ƒќ;PR;;;Е минут сорок _до_ Е ну ,;о;д;;;;;PR;ƒќ;PR;ќ
14126;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14127;;ну;Ќ”;PART;;;сорок до Е _ну_ , того ,;у;н;;;;;PART;Ќ”;PART;”
14128;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14129;;того;“ќ;SPRO n - gen sg;;;Е ну , _того_ , чтобы выходить;о;г;о;т;;;SPRO;“ќ;S n - gen sg;ќ
14130;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14131;;чтобы;„“ќЅџ;CONJ;;;, того , _чтобы_ выходить из дома;ы;б;о;т;ч;;CONJ;„“ќЅџ;CONJ;џ
14132;;выходить;¬џ’ќƒ»“№;V ipf - - inf - -;;;того , чтобы _выходить_ из дома ,;ь;т;и;д;о;х;V;¬џ’ќƒ»“№;V ipf - - inf - -;№
14133;;из;»«;PR;;;, чтобы выходить _из_ дома , а;з;и;;;;;PR;»«;PR;«
14134;;дома;ƒќћ;S m inan gen sg;;;чтобы выходить из _дома_ , а €;а;м;о;д;;;S;ƒќћ;S m inan gen sg;ћ
14135;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14136;;а;ј;CONJ;;;из дома , _а_ € така€ Е;а;;;;;;CONJ;ј;CONJ;ј
14137;;€;я;SPRO sg 1p - nom;;;дома , а _€_ така€ Е ну;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14138;;така€;“ј ќ…;APRO - nom sg plen f -;;;, а € _така€_ Е ну ,;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14139;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14140;;ну;Ќ”;PART;;;€ така€ Е _ну_ , как бы Е;у;н;;;;;PART;Ќ”;PART;”
14141;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14142;;как бы;как бы;PART;;;Е ну , _как бы_ Е это .;ы;б;;к;а;к;PART;как бы;ADV -;ы
14143;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14144;;это;Ё“ќ;SPRO n - nom sg;;;, как бы Е _это_ .;о;т;э;;;;SPRO;Ё“ќ;S n - nom sg;ќ
14145;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14146;;;;;;;;;;;;;;;;;
14147;# sent = 1102;;;;;;;;;;;;;;;;
14148;;¬от;¬ќ“;PART;;;. _¬от_ , € ещЄ;т;о;в;;;;PART;¬ќ“;PART;“
14149;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14150;;€;я;SPRO sg 1p - nom;;;¬от , _€_ ещЄ сама стала;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14151;;ещЄ;≈ў≈;ADV -;;;¬от , € _ещЄ_ сама стала сомневатьс€;Є;щ;е;;;;ADV;≈ў≈;ADV -;≈
14152;;сама;—јћ;A - nom sg plen f -;;;, € ещЄ _сама_ стала сомневатьс€ ,;а;м;а;с;;;A;—јћ;A - nom sg plen f -;ћ
14153;;стала;—“ј“№;V pf praet sg indic f -;;;€ ещЄ сама _стала_ сомневатьс€ , ходить;а;л;а;т;с;;V;—“ј“№;V pf praet sg indic f -;№
14154;;сомневатьс€;—ќћЌ≈¬ј“№—я;V ipf - - inf - -;;;ещЄ сама стала _сомневатьс€_ , ходить или;€;с;ь;т;а;в;V;—ќћЌ≈¬ј“№—я;V ipf - - inf - -;я
14155;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14156;;ходить;’ќƒ»“№;V ipf - - inf - -;;;стала сомневатьс€ , _ходить_ или нет .;ь;т;и;д;о;х;V;’ќƒ»“№;V ipf - - inf - -;№
14157;;или;»Ћ»;CONJ;;;сомневатьс€ , ходить _или_ нет .;и;л;и;;;;CONJ;»Ћ»;CONJ;»
14158;;нет;Ќ≈“;PART;;;, ходить или _нет_ .;т;е;н;;;;PART;Ќ≈“;PART;“
14159;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14160;;;;;;;;;;;;;;;;;
14161;# sent = 1103;;;;;;;;;;;;;;;;
14162;;ѕотом;ѕќ“ќћ;ADV -;;;. _ѕотом_ така€ ладно ,;м;о;т;о;п;;ADV;ѕќ“ќћ;ADV -;ћ
14163;;така€;“ј ќ…;APRO - nom sg plen f -;;;ѕотом _така€_ ладно , сгон€ю;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14164;;ладно;ЋјƒЌќ;PART;;;ѕотом така€ _ладно_ , сгон€ю и;о;н;д;а;л;;PART;ЋјƒЌќ;PART;ќ
14165;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14166;;сгон€ю;—√ќЌя“№;V ipf praes sg indic - 1p;;;така€ ладно , _сгон€ю_ и всЄ ,;ю;€;н;о;г;с;V;—√ќЌя“№;V ipf praes sg indic - 1p;№
14167;;и;»;CONJ;;;ладно , сгон€ю _и_ всЄ , хот€;и;;;;;;CONJ;»;CONJ;»
14168;;всЄ;¬—≈;S n - nom sg;;;, сгон€ю и _всЄ_ , хот€ мы;Є;с;в;;;;S;¬—≈;S n - nom sg;≈
14169;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14170;;хот€;’ќ“я;CONJ;;;и всЄ , _хот€_ мы очень мило;€;т;о;х;;;CONJ;’ќ“я;CONJ;я
14171;;мы;ћџ;SPRO pl 1p - nom;;;всЄ , хот€ _мы_ очень мило сидели;ы;м;;;;;SPRO;ћџ;SPRO pl 1p - nom;џ
14172;;очень;ќ„≈Ќ№;ADV -;;;, хот€ мы _очень_ мило сидели ,;ь;н;е;ч;о;;ADV;ќ„≈Ќ№;ADV -;№
14173;;мило;ћ»Ћќ;ADV -;;;хот€ мы очень _мило_ сидели , но;о;л;и;м;;;ADV;ћ»Ћќ;ADV -;ќ
14174;;сидели;—»ƒ≈“№;V ipf praet pl indic - -;;;мы очень мило _сидели_ , но €;и;л;е;д;и;с;V;—»ƒ≈“№;V ipf praet pl indic - -;№
14175;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14176;;но;Ќќ;CONJ;;;мило сидели , _но_ € потом не;о;н;;;;;CONJ;Ќќ;CONJ;ќ
14177;;€;я;SPRO sg 1p - nom;;;сидели , но _€_ потом не пожалела;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14178;;потом;ѕќ“ќћ;ADV -;;;, но € _потом_ не пожалела ,;м;о;т;о;п;;ADV;ѕќ“ќћ;ADV -;ћ
14179;;не;Ќ≈;PART;;;но € потом _не_ пожалела , что;е;н;;;;;PART;Ќ≈;PART;≈
14180;;пожалела;ѕќ∆јЋ≈“№;V pf praet sg indic f -;;;€ потом не _пожалела_ , что ушла;а;л;е;л;а;ж;V;ѕќ∆јЋ≈“№;V pf praet sg indic f -;№
14181;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14182;;что;„“ќ;CONJ;;;не пожалела , _что_ ушла .;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
14183;;ушла;”…“»;V pf praet sg indic f -;;;пожалела , что _ушла_ .;а;л;ш;у;;;V;”…“»;V pf praet sg indic f -;»
14184;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14185;;;;;;;;;;;;;;;;;
14186;# sent = 1104;;;;;;;;;;;;;;;;
14187;;¬от;¬ќ“;PART;;;. _¬от_ , и €;т;о;в;;;;PART;¬ќ“;PART;“
14188;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14189;;и;»;CONJ;;;¬от , _и_ € посмотрела у;и;;;;;;CONJ;»;CONJ;»
14190;;€;я;SPRO sg 1p - nom;;;¬от , и _€_ посмотрела у неЄ;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14191;;посмотрела;ѕќ—ћќ“–≈“№;V pf praet sg indic f -;;;, и € _посмотрела_ у неЄ же;а;л;е;р;т;о;V;ѕќ—ћќ“–≈“№;V pf praet sg indic f -;№
14192;;у;”;PR;;;и € посмотрела _у_ неЄ же в;у;;;;;;PR;”;PR;”
14193;;неЄ;ќЌј;SPRO sg 3p f gen;;;€ посмотрела у _неЄ_ же в дубльгисе;Є;е;н;;;;SPRO;ќЌј;SPRO sg 3p f acc;ј
14194;;же;∆≈;PART;;;посмотрела у неЄ _же_ в дубльгисе там;е;ж;;;;;PART;∆≈;PART;≈
14195;;в;¬;PR;;;у неЄ же _в_ дубльгисе там Е;в;;;;;;PR;¬;PR;¬
14196;;дубльгисе;ƒ”ЅЋ№√»—;S m inan gen sg;;;неЄ же в _дубльгисе_ там Е как;е;с;и;г;ь;л;S;ƒ”ЅЋ№√»—;S f inan acc sg;—
14197;;там;“јћ;PARENTH;;;же в дубльгисе _там_ Е как проехать;м;а;т;;;;ADV;“јћ;ADV -;ћ
14198;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14199;;как; ј ;CONJ;;;дубльгисе там Е _как_ проехать , всЄ;к;а;к;;;;CONJ; ј ;CONJ; 
14200;;проехать;ѕ–ќ≈’ј“№;V pf - - inf - -;;;там Е как _проехать_ , всЄ ,;ь;т;а;х;е;о;V;ѕ–ќ≈’ј“№;V pf - - inf - -;№
14201;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14202;;всЄ;¬—≈;ADV -;;;как проехать , _всЄ_ , приехала Ц;Є;с;в;;;;ADV;¬—≈;ADV -;≈
14203;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14204;;приехала;ѕ–»≈’ј“№;V pf praet sg indic f -;;;, всЄ , _приехала_ Ц и €;а;л;а;х;е;и;V;ѕ–»≈’ј“№;V pf praet sg indic f -;№
14205;;Ц;Ц;PUNCT;;;;;;;;;;PUNCT;;;
14206;;и;»;CONJ;;;, приехала Ц _и_ € така€ Ђ;и;;;;;;CONJ;»;CONJ;»
14207;;€;я;SPRO sg 1p - nom;;;приехала Ц и _€_ така€ Ђ ыыы;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14208;;така€;“ј ќ…;APRO - nom sg plen f -;;;Ц и € _така€_ Ђ ыыы ,;€;а;к;а;т;;APRO;“ј ќ…;A - nom sg plen f -;…
14209;;Ђ;Ђ;PUNCT;;;;;;;;;;PUNCT;;;
14210;;ыыы;џџџ;INTJ;;;€ така€ Ђ _ыыы_ , где €;ы;ы;ы;;;;NONLEX;џџџ;NONLEX;џ
14211;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14212;;где;√ƒ≈;ADV -;;;Ђ ыыы , _где_ € , что;е;д;г;;;;ADV;√ƒ≈;ADV -;≈
14213;;€;я;SPRO sg 1p - nom;;;ыыы , где _€_ , что €;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14214;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14215;;что;„“ќ;CONJ;;;где € , _что_ € , €;о;т;ч;;;;CONJ;„“ќ;CONJ;ќ
14216;;€;я;SPRO sg 1p - nom;;;€ , что _€_ , € же;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14217;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14218;;€;я;SPRO sg 1p - nom;;;что € , _€_ же маленька€ ,;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14219;;же;∆≈;PART;;;€ , € _же_ маленька€ , мне;е;ж;;;;;PART;∆≈;PART;≈
14220;;маленька€;ћјЋ≈Ќ№ »…;A - nom sg plen f -;;;, € же _маленька€_ , мне страшно;€;а;к;ь;н;е;A;ћјЋ≈Ќ№ »…;A - nom sg plen f -;…
14221;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
14222;;мне;я;SPRO sg 1p - dat;;;же маленька€ , _мне_ страшно ! ї;е;н;м;;;;SPRO;я;SPRO sg 1p - dat;я
14223;;страшно;—“–јЎЌќ;ADV -;;;маленька€ , мне _страшно_ ! ї;о;н;ш;а;р;т;ADV;—“–јЎЌќ;ADV -;ќ
14224;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
14225;;ї;ї;PUNCT;;;;;;;;;;PUNCT;;;
14226;;;;;;;;;;;;;;;;;
14227;# sent = 1105;;;;;;;;;;;;;;;;
14228;# speaker =  от;;;;;;;;;;;;;;;;
14229;# sent = 1106;;;;;;;;;;;;;;;;
14230;;¬от;¬ќ“;PART;;;_¬от_ .;т;о;в;;;;PART;¬ќ“;PART;“
14231;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
14232;;;;;;;;;;;;;;;;;
14233;# sent = 1107;;;;;;;;;;;;;;;;
14234;;ѕотом;ѕќ“ќћ;ADV -;;;. _ѕотом_ € пошла Е;м;о;т;о;п;;ADV;ѕќ“ќћ;ADV -;ћ
14235;;€;я;SPRO sg 1p - nom;;;ѕотом _€_ пошла Е в;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
14236;;пошла;ѕќ…“»;V pf praet sg indic f -;;;ѕотом € _пошла_ Е в этот;а;л;ш;о;п;;V;ѕќ…“»;V pf praet sg indic f -;»
14237;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14238;;в;¬;PR;;;€ пошла Е _в_ этот Е там;в;;;;;;PR;¬;PR;¬
14239;;этот;Ё“ќ“;APRO - acc sg plen m inan;;;пошла Е в _этот_ Е там такой;т;о;т;э;;;APRO;Ё“ќ“;A - acc sg plen m inan;“
14240;;Е;Е;PUNCT;;;;;;;;;;PUNCT;;;
14241;;там;“јћ;ADV -;;;в этот Е _там_ такой подвальчик ,;м;а;т;;;;ADV;“јћ;ADV -;ћ
14242;;такой;“ј ќ…;APRO - nom sg plen m -;;;этот Е там _такой_ подвальчик , €;й;о;к;а;т;;APRO;“ј ќ…;A - nom sg plen m -;…
